Student,Hours_Studied,Attendance,Previous_Score,Final_Score,Improvement
Neha,6.8,87,92,79,-13
Ananya,7.3,92,49,69,20
Samar,5.8,98,85,68,-17
Yash,5.9,77,95,67,-28
Rudra,6.0,91,93,67,-26
Shaurya,6.3,76,67,64,-3
Vanya,6.1,67,92,63,-29
Navya,6.3,96,69,62,-7
Siya,3.1,71,93,62,-31
Riya,4.9,78,74,62,-12
Aarav,5.9,100,52,60,8
Mahi,5.9,64,90,59,-31
Varun,7.3,77,60,58,-2
Kunal,6.3,96,53,56,3
Mihir,2.6,85,82,56,-26
Ritvik,4.9,88,72,56,-16
Laksh,5.4,77,79,56,-23
Ishita,6.0,62,66,55,-11
Dev,3.6,87,78,55,-23
Nisha,7.0,59,70,54,-16
Pranav,2.0,76,78,54,-24
Anika,5.2,75,61,53,-8
Jay,5.2,60,63,53,-10
Pihu,6.0,67,71,53,-18
Maya,5.3,68,75,53,-22
Kiara,5.2,99,49,53,4
Arjun,5.8,69,83,53,-30
Kavya,6.3,88,61,52,-9
Tara,3.8,75,87,52,-35
Darsh,4.4,69,92,52,-40
Aarohi,5.1,74,82,52,-30
Meera,5.4,73,78,50,-28
Tanvi,2.5,88,78,50,-28
Nikhil,3.8,99,66,50,-16
Palak,6.0,83,84,50,-34
Om,5.3,67,72,50,-22
Vihaan,5.4,88,72,49,-23
Naina,3.6,63,50,49,-1
Manav,3.8,62,67,48,-19
Rahul,5.0,90,54,48,-6
Lavanya,3.4,94,79,48,-31
Aryan,4.4,87,79,48,-31
Diya,3.6,85,74,47,-27
Aanya,2.7,87,70,47,-23
Harsh,2.8,82,52,46,-6
Dhruv,1.6,65,76,46,-30
Reyansh,5.7,86,60,45,-15
Aisha,2.6,81,73,45,-28
Arnav,3.7,58,88,45,-43
Avni,7.3,83,46,44,-2
Krish,3.2,90,53,44,-9
Ved,1.4,70,68,43,-25
Raghav,6.5,55,51,42,-9
Siddharth,4.4,92,60,42,-18
Myra,3.8,60,84,41,-43
Kabir,6.5,73,49,41,-8
Rashi,4.5,59,67,41,-26
Ishani,4.4,69,52,40,-12
Aman,1.5,75,59,38,-21
Neil,4.5,87,45,38,-7
Trisha,2.5,99,74,37,-37
Ira,1.9,75,74,37,-37
Atharv,3.6,71,59,37,-22
Vivaan,1.4,70,85,36,-49
Sara,3.7,56,47,36,-11
Priya,2.1,76,52,35,-17
Rohan,1.2,74,77,35,-42
Aditya,3.1,59,54,35,-19
Tanya,0.9,62,50,35,-15
Parth,2.1,70,48,35,-13
Aditi,3.0,62,53,35,-18
Sanya,0.8,72,62,35,-27
Anvi,1.8,59,69,35,-34
Mira,0.6,87,58,35,-23
Zara,1.5,90,69,35,-34
Abhay,1.9,67,86,35,-51
Sneha,1.3,96,46,35,-11
Kartik,0.7,80,61,35,-26
Akash,0.9,77,57,35,-22
Samaira,2.1,89,59,35,-24
