Student,Hours_Studied,Attendance,Previous_Score,Final_Score
Aarav,5.9,100,52,60
Diya,3.6,85,74,47
Kabir,6.5,73,49,41
Meera,5.4,73,78,50
Rohan,1.2,74,77,35
Ananya,7.3,92,49,69
Arjun,5.8,69,83,53
Ishita,6.0,62,66,55
Vivaan,1.4,70,85,36
Sara,3.7,56,47,36
Aditya,3.1,59,54,35
Nisha,7.0,59,70,54
Rahul,5.0,90,54,48
Kavya,6.3,88,61,52
Dev,3.6,87,78,55
Priya,2.1,76,52,35
Aryan,4.4,87,79,48
Tanya,0.9,62,50,35
Kunal,6.3,96,53,56
Riya,4.9,78,74,62
Samar,5.8,98,85,68
Aditi,3.0,62,53,35
Varun,7.3,77,60,58
Neha,6.8,87,92,79
Yash,5.9,77,95,67
Ira,1.9,75,74,37
Manav,3.8,62,67,48
Sanya,0.8,72,62,35
Dhruv,1.6,65,76,46
Maya,5.3,68,75,53
Reyansh,5.7,86,60,45
Avni,7.3,83,46,44
Harsh,2.8,82,52,46
Siya,3.1,71,93,62
Nikhil,3.8,99,66,50
Anvi,1.8,59,69,35
Ved,1.4,70,68,43
Myra,3.8,60,84,41
Parth,2.1,70,48,35
Kiara,5.2,99,49,53
Atharv,3.6,71,59,37
Navya,6.3,96,69,62
Laksh,5.4,77,79,56
Aanya,2.7,87,70,47
Shaurya,6.3,76,67,64
Vanya,6.1,67,92,63
Krish,3.2,90,53,44
Trisha,2.5,99,74,37
Om,5.3,67,72,50
Zara,1.5,90,69,35
Abhay,1.9,67,86,35
Mira,0.6,87,58,35
Rudra,6.0,91,93,67
Anika,5.2,75,61,53
Vihaan,5.4,88,72,49
Pihu,6.0,67,71,53
Arnav,3.7,58,88,45
Rashi,4.5,59,67,41
Aman,1.5,75,59,38
Sneha,1.3,96,46,35
Jay,5.2,60,63,53
Tara,3.8,75,87,52
Neil,4.5,87,45,38
Mahi,5.9,64,90,59
Ritvik,4.9,88,72,56
Ishani,4.4,69,52,40
Siddharth,4.4,92,60,42
Aisha,2.6,81,73,45
Kartik,0.7,80,61,35
Naina,3.6,63,50,49
Pranav,2.0,76,78,54
Lavanya,3.4,94,79,48
Raghav,6.5,55,51,42
Samaira,2.1,89,59,35
Akash,0.9,77,57,35
Tanvi,2.5,88,78,50
Mihir,2.6,85,82,56
Aarohi,5.1,74,82,52
Darsh,4.4,69,92,52
Palak,6.0,83,84,50
